id,IsoCode,CountryName,Region,IncomeGroup,GiniYear,GiniCoefficient,HomicideYear,HomicidePer100k,HDI,GDP_Mean,LifeExpectancy,services2015,industry2015,agriculture2015,GDP_PPP_Year,GDP_PPP,Unemployment2015,Unemployment2016,Unemployment2017
0,AFG,Afghanistan,South Asia,Low income,0.0,0.0,2012.0,6.6,0.48,5.61,63.3,55.65,22.95,21.4,2016.0,1944.12,8.6,8.6,8.5
1,ALB,Albania,Europe & Central Asia,Upper middle income,2012.0,29.0,2015.0,2.3,0.76,2.29,78.2,52.96,24.18,22.86,2016.0,11540.03,17.1,15.2,15.0
2,DZA,Algeria,Middle East & North Africa,Upper middle income,2011.0,27.6,2015.0,1.4,0.75,3.36,75.86,48.59,38.81,12.61,2016.0,15013.3,11.2,11.5,11.7
3,AGO,Angola,Sub-Saharan Africa,Lower middle income,2008.0,42.7,2015.0,9.6,0.53,3.78,61.19,,,,2016.0,6454.14,6.2,6.1,6.2
4,ATA,Antarctica,,,,,,,,,,,,,,,,,
5,ARG,Argentina,Latin America & Caribbean,Upper middle income,2014.0,42.7,2015.0,6.5,0.83,2.2,76.29,65.89,28.06,6.04,2016.0,19939.93,7.2,8.8,8.1
6,ARM,Armenia,Europe & Central Asia,Lower middle income,2015.0,32.4,2015.0,2.5,0.74,3.49,74.21,51.97,28.76,19.27,2016.0,8832.76,18.3,17.6,17.4
7,AUS,Australia,East Asia & Pacific,High income,2010.0,34.7,2015.0,1.0,0.94,2.63,82.45,72.04,25.4,2.56,2016.0,46012.33,6.1,5.7,5.7
8,AUT,Austria,Europe & Central Asia,High income,2014.0,30.5,2015.0,0.5,0.89,1.24,81.84,70.7,28.06,1.25,2016.0,50551.55,5.7,6.0,5.7
9,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2008.0,31.8,2014.0,2.5,0.76,1.85,71.85,43.92,49.3,6.78,2016.0,17256.63,5.0,5.0,5.1
10,BHS,Bahamas,Latin America & Caribbean,High income,0.0,0.0,2012.0,29.8,0.79,0.07,75.37,87.84,11.23,0.93,2016.0,22516.82,12.0,12.7,12.6
11,BGD,Bangladesh,South Asia,Lower middle income,2010.0,32.1,2015.0,2.5,0.58,6.33,72.22,56.35,28.15,15.51,2016.0,3579.76,4.2,4.1,4.0
12,BLR,Belarus,Europe & Central Asia,Upper middle income,2015.0,26.7,2014.0,3.6,0.8,1.62,73.62,55.05,37.7,7.25,2016.0,18066.3,0.5,0.5,0.5
13,BEL,Belgium,Europe & Central Asia,High income,2014.0,28.1,2015.0,1.9,0.9,1.31,81.29,77.07,22.17,0.76,2016.0,46428.67,8.5,7.8,7.4
