,Country Name,2008 Gini Index,2008 GDP,2008 Homicide Count,2008 Homicide Rate
0,Afghanistan,..,1247.0661442909948,712,2.4
1,Angola,42.7,5743.110047571189,3426,19.0
2,Albania,30,8228.337106181705,93,2.9
3,Argentina,46.3,17711.441786757092,2305,5.8
4,Armenia,30.7,7260.9687558736805,83,2.7
5,Australia,35.4,37506.90682172684,261,1.2
6,Austria,30.4,41316.225176698965,45,0.5
7,Azerbaijan,31.8,13799.786140073293,192,2.1
8,Burundi,..,729.4627833089254,1726,21.7
9,Belgium,28.4,38133.501464465895,200,1.9
10,Benin,..,1768.8035979427032,1262,15.1
11,Burkina Faso,..,1338.8602973718037,2786,18.0
12,Bangladesh,..,2163.554427277624,4099,2.8
13,Bulgaria,33.6,14328.929539223558,172,2.3
14,Bosnia and Herzegovina,..,9006.447008980364,66,1.7
15,Belarus,27.8,14383.167385810015,541,5.6
16,Belize,..,7636.841357335427,103,34.4
17,Bermuda,..,58288.612094414384,5,7.7
18,Brazil,54.4,13262.800544741433,43635,22.8
19,Bhutan,..,5372.132428645566,7,1.0
20,Central African Republic,56.2,833.2529640766243,1240,29.3
21,Canada,..,40277.61931210989,611,1.8
22,Switzerland,33.8,52584.73494603438,54,0.7
23,Chile,..,16551.307152327718,588,3.5
24,China,42.8,7635.072610937251,14811,1.1
25,Cameroon,..,2812.645054601193,3700,19.7
26,Colombia,56,10132.26566128574,16140,35.9
27,Costa Rica,49.1,12329.930057933972,512,11.3
28,Cuba,..,,518,4.6
29,Cyprus,31.7,34823.6542391999,9,0.8
30,Czech Republic,26.3,27844.795326465617,202,1.9
31,Germany,31.1,38028.772143518,722,0.9
32,Djibouti,..,2408.405622761673,29,3.4
33,Denmark,25.3,41278.328843462004,54,1.0
34,Dominican Republic,49,10038.052333289248,2394,24.8
35,Algeria,..,12162.264347086733,516,1.5
36,Ecuador,50.6,8920.500826658788,2607,18.5
37,Eritrea,..,1329.6443726206514,879,17.8
38,Spain,34.2,33463.65409934692,426,0.9
39,Estonia,31.9,22664.03932747154,84,6.3
40,Ethiopia,..,888.1424517060924,20239,25.5
41,Finland,27.8,39969.38759870553,133,2.5
42,France,33,35156.3833873281,839,1.4
43,Gabon,..,14686.459474091376,200,13.8
44,Georgia,40.6,6155.927441534962,263,6.0
45,Ghana,..,2733.2784116365415,3646,15.7
46,Guinea,..,1540.2934112747996,2152,22.5
47,Equatorial Guinea,..,38441.34832974276,137,20.7
48,Greece,33.6,30856.011826847745,139,1.2
49,Greenland,..,,6,10.5
50,Guatemala,..,6515.057582995979,6292,46.0
51,Guyana,..,5211.175397359722,158,21.0
52,Honduras,55.7,3923.597020900812,4473,61.3
53,Croatia,..,20246.989529801987,71,1.6
54,Haiti,..,1526.1695094245886,491,5.0
55,Hungary,27.5,20678.679912089177,146,1.5
56,Indonesia,..,7486.019470018625,18963,8.1
57,India,..,3637.643028669439,40938,3.4
58,Ireland,30.9,44280.690610619764,50,1.1
59,Iraq,..,11736.738158475284,608,2.0
60,Iceland,31.8,42677.53535678459,0,0.0
61,Israel,..,27399.447642839914,163,2.3
62,Italy,33.6,35402.91685271556,615,1.0
63,Jamaica,..,8228.219333992134,1618,59.5
64,Japan,32.1,34798.7658977271,646,0.5
65,Kazakhstan,29.1,18513.92541224889,1680,10.7
66,Kenya,..,2243.2883944726714,7733,20.1
67,Kuwait,..,90011.78216750389,57,2.2
68,Lebanon,..,14023.264492726199,252,6.0
69,Liberia,..,648.4267409907152,371,10.1
70,Sri Lanka,..,7419.358005059961,1488,7.3
71,Lesotho,..,2139.9251825316305,702,33.0
72,Lithuania,35.7,20744.06663264561,298,8.9
73,Luxembourg,32.6,86693.89512208622,12,2.5
74,Latvia,37.2,19432.22328765131,99,4.4
75,Morocco,..,5866.56421559029,426,1.4
76,Madagascar,..,1463.0948120363748,1588,8.1
77,Mexico,48.2,14436.815040077357,14006,12.7
78,Mali,..,1737.7147522995494,1157,8.0
79,Malta,..,26193.068446897618,6,1.4
80,Myanmar,..,2989.784894600749,4800,10.2
81,Montenegro,30.5,13816.547745782878,23,3.7
82,Mongolia,..,7278.375529239778,212,7.9
83,Mauritania,35.7,3255.4975989923023,485,14.7
84,Malawi,..,910.9173988541426,5039,36.0
85,Niger,..,783.8666854301742,552,3.8
86,Nigeria,..,4525.212182387734,18422,12.2
87,Nicaragua,..,3931.0543005970417,736,13.1
88,Netherlands,29.3,45843.892234079976,176,1.1
89,Norway,27,61757.24556768685,34,0.7
90,Nepal,..,1777.2335656981081,917,3.2
91,New Zealand,..,29860.37025456749,52,1.2
92,Oman,..,43170.35667026974,18,0.7
93,Pakistan,..,4104.907381668916,12059,7.2
94,Panama,52.6,14282.297744540168,654,19.2
95,Peru,48.5,8956.515287275979,3332,11.7
96,Philippines,..,5100.53571394039,5820,6.5
97,Papua New Guinea,..,2730.0837529101027,854,13.0
98,Poland,33.7,18310.443208668483,460,1.2
99,Puerto Rico,..,33027.01543543906,807,21.5
100,Portugal,36.6,26631.563963270437,124,1.2
101,Paraguay,51,6621.21916173953,942,15.1
102,Qatar,..,115012.4503342119,13,0.9
103,Romania,29.6,16302.04015696004,493,2.3
104,Rwanda,..,1203.1482576999713,1708,17.1
105,Sudan,..,3187.31097610988,10028,24.2
106,Senegal,..,2081.0076727026817,1027,8.7
107,Solomon Islands,..,1759.4257517082406,19,3.7
108,Sierra Leone,..,1110.9351427028232,837,14.9
109,El Salvador,46.7,7205.450294235974,3179,51.9
110,Somalia,..,,138,1.5
111,Suriname,..,12869.898246519047,43,8.3
112,Slovenia,23.7,29624.190182506627,10,0.5
113,Sweden,26.8,41853.69618065043,82,0.9
114,Chad,..,1668.5779849679861,1686,15.8
115,Togo,..,1137.9922568977584,627,10.9
116,Thailand,40.3,12255.212016534857,3974,5.8
117,Tajikistan,..,1913.5197133442653,118,1.8
118,Trinidad and Tobago,..,30693.86900274647,547,41.1
119,Tunisia,..,9609.707560754634,117,1.1
120,Turkey,39,16048.92018869176,2320,3.3
121,Uganda,..,1382.4870003226042,11373,36.3
122,Ukraine,26.6,8395.81254471333,2707,5.9
123,Uruguay,46.3,14705.55174231476,221,6.6
124,Uzbekistan,..,3632.7401208306296,831,3.1
125,Vanuatu,..,2828.415927228993,2,0.9
126,South Africa,63,11518.100912916236,18148,36.8
127,Zambia,..,2768.4234492782252,4710,38.0
128,Zimbabwe,..,1167.2139709680637,1775,14.3
