CountryName,IsoCode,services2015,industry2015,agriculture2015
Afghanistan,AFG,55.65340878,22.94586918,21.40072204
Albania,ALB,52.96218731,24.18000093,22.85781175
Algeria,DZA,48.58654518,38.80552676,12.60792807
Angola,AGO,,,
Antarctica,ATA,,,
Argentina,ARG,65.8912292,28.06479291,6.04397789
Armenia,ARM,51.96530279,28.76443646,19.27026075
Australia,AUS,72.0447953,25.39625052,2.558954184
Austria,AUT,70.69683472,28.05704761,1.246117669
Azerbaijan,AZE,43.92035702,49.29605622,6.783586761
Bahamas,BHS,87.83880048,11.22819294,0.933006584
Bangladesh,BGD,56.34620457,28.1463235,15.50747193
Belarus,BLR,55.05446644,37.69990437,7.245629192
Belgium,BEL,77.06601,22.17096505,0.763024952
Belize,BLZ,68.27375432,16.81354157,14.91270753
Benin,BEN,51.44168962,23.2369146,25.32139578
Bermuda,BMU,,,
Bhutan,BTN,39.27881206,43.22119408,17.49999387
Bolivia,BOL,54.18202414,32.5807408,13.23723506
Bosnia and Herzegovina,BIH,65.10222515,27.33242181,7.565353048
Botswana,BWA,64.44228162,33.11870717,2.439011212
Brazil,BRA,72.68315803,22.34521906,4.971642306
Brunei Darussalam,BRN,37.53515581,61.36235797,1.102486219
Bulgaria,BGR,67.34128122,27.87212646,4.786592316
Burkina Faso,BFA,45.07723319,21.17657764,33.74618917
Burundi,BDI,43.11925599,16.46048782,40.42025619
Cambodia,KHM,41.54940203,29.81735284,28.63324512
Cameroon,CMR,56.58579594,27.3624947,16.05170936
Canada,CAN,,,
Central African Republic,CAF,41.2051388,16.43209995,42.36276127
Chad,TCD,33.42323289,14.19121599,52.38555112
Chile,CHL,63.27312773,32.41333835,4.313533926
China,CHN,50.23563994,40.93163605,8.832724007
Colombia,COL,59.94978536,33.4350593,6.615155342
Congo (Brazzaville),COD,44.42647257,35.17891378,20.39461364
"Congo, (Kinshasa)",COG,38.08214623,54.67437765,7.243495885
Costa Rica,CRI,72.54592934,22.09708959,5.35698107
Côte d'Ivoire,CIV,45.56486138,28.9243642,25.51077442
Croatia,HRV,69.40104494,26.39700907,4.201946022
Cuba,CUB,73.53200443,22.59146193,3.876533644
Cyprus,CYP,86.79894027,11.09699851,2.104061223
Czech Republic,CZE,59.74972307,37.77444464,2.475832284
Denmark,DNK,76.40683327,22.66803925,0.925127486
Djibouti,DJI,,,
Dominican Republic,DOM,66.91043277,27.30299144,5.786575782
Ecuador,ECU,55.4187329,34.38189454,10.19937256
Egypt,EGY,52.54275606,36.19770733,11.25955279
El Salvador,SLV,62.20657218,26.66229435,11.13113347
Equatorial Guinea,GNQ,40.03720735,57.9333053,2.02948735
Eritrea,ERI,,,
Estonia,EST,69.10596537,27.75765618,3.136378451
Ethiopia,ETH,43.03101566,17.73417719,39.23480716
Falkland Islands (Malvinas),FLK,,,
Fiji,FJI,70.73450498,17.93501184,11.33048317
Finland,FIN,70.41568714,27.04483226,2.539480599
France,FRA,78.5988381,19.6364668,1.764695096
French Guiana,GUF,,,
French Southern Territories,ATF,,,
Gabon,GAB,44.49578965,50.82805567,4.67615468
Gambia,GMB,67.51160686,14.23631175,18.25208166
Georgia,GEO,66.21273276,24.65815897,9.129108631
Germany,DEU,68.85366389,30.52963515,0.616700958
Ghana,GHA,51.41526972,27.5965471,20.98818318
Greece,GRC,80.13401649,15.62209359,4.243889913
Greenland,GRL,68.73652765,15.76134796,15.50212439
Guatemala,GTM,60.83233073,28.07030011,11.09736916
Guinea,GIN,50.31059545,28.86886249,20.82054205
Guinea-Bissau,GNB,37.32312476,13.22202692,49.45484832
Guyana,GUY,58.88850517,6.608090824,34.503404
Haiti,HTI,,,
Honduras,HND,58.54165956,27.8728129,13.58552753
Hungary,HUN,63.86600701,31.71575111,4.418241881
Iceland,ISL,71.05597199,22.68918812,6.254839884
India,IND,52.92686585,29.61098433,17.46214981
Indonesia,IDN,44.7349656,41.33621379,13.92882062
"Iran, Islamic Republic of",IRN,55.43237108,33.81429938,10.75332954
Iraq,IRQ,53.791,41.46,4.749
Ireland,IRL,57.6765304,41.36157721,0.961892395
Israel,ISR,77.69589364,20.99492451,1.309181845
Italy,ITA,74.20882044,23.54815854,2.243021012
Jamaica,JAM,69.67539951,22.81954712,7.50505337
Japan,JPN,70.03653629,28.89499275,1.068470967
Jordan,JOR,66.18538375,29.64063163,4.173984194
Kazakhstan,KAZ,62.50872437,32.52564175,4.965633885
Kenya,KEN,47.60943238,19.08850784,33.30205553
Korea (North),PRK,,,
Korea (South),KOR,59.37531411,38.33393496,2.290750929
Kuwait,KWT,47.90149392,51.60236297,0.496143116
Kyrgyzstan,KGZ,55.63315675,28.42789514,15.93894811
Lao PDR,LAO,49.37821239,30.95940794,19.66237967
Latvia,LVA,73.59227419,22.26057135,4.147154466
Lebanon,LBN,79.49562849,16.74359913,3.76077238
Lesotho,LSO,57.81331926,36.63889707,5.546472969
Liberia,LBR,53.09242871,12.53687316,34.37069813
Libya,LBY,,,
Lithuania,LTU,66.52140907,29.84350974,3.63508119
Luxembourg,LUX,87.19700489,12.54879545,0.254199658
"Macedonia, Republic of",MKD,61.97708418,26.61770194,11.40521388
Madagascar,MDG,58.74997757,15.68780635,25.56221608
Malawi,MWI,54.27781121,16.00949961,29.71268919
Malaysia,MYS,52.44043696,39.09933551,8.460227533
Mali,MLI,38.26853527,19.75039876,41.98106597
Malta,MLT,83.47078732,15.24337815,1.285834534
Mauritania,MRT,43.68460216,28.57236592,27.74303192
Mexico,MEX,63.6419203,32.74448831,3.613591389
Moldova,MDA,71.17154119,14.44600267,14.38342365
Mongolia,MNG,51.66635473,33.79312121,14.54052406
Montenegro,MNE,72.89395616,17.35764832,9.748395519
Morocco,MAR,56.22744694,29.49430811,14.27824495
Mozambique,MOZ,53.22957813,21.57390959,25.19651228
Myanmar,MMR,38.75942408,34.46878071,26.77179521
Namibia,NAM,62.4667106,31.03752917,6.495760226
Nepal,NPL,51.65598866,15.38607077,32.95794057
Netherlands,NLD,77.91526962,20.27948604,1.805244347
New Caledonia,NCL,,,
New Zealand,NZL,,,
