CountryName,GDPPPP,HDI
Afghanistan,1926.36,0.48
Angola,6635.24,0.53
Albania,11282.79,0.76
United Arab Emirates,70254.83,0.84
Argentina,20340.29,0.83
Armenia,8727.56,0.74
Australia,46095.17,0.94
Austria,49938.11,0.89
Azerbaijan,17782.03,0.76
Burundi,796.96,0.40
Belgium,45430.91,0.90
Benin,2116.06,0.49
Burkina Faso,1699.88,0.40
Bangladesh,3335.76,0.58
Bulgaria,18115.24,0.79
Bosnia and Herzegovina,11526.42,0.75
Belarus,18347.14,0.80
Belize,8584.23,0.71
Brazil,15617.32,0.75
Bhutan,8245.61,0.61
Botswana,16352.55,0.70
Central African Republic,667.04,0.35
Canada,44452.25,0.92
Switzerland,63648.29,0.94
Chile,22647.46,0.85
China,14450.09,0.74
Cameroon,3502.41,0.52
Colombia,13827.67,0.73
Costa Rica,15881.61,0.78
Cuba,0.00,0.78
Cyprus,31523.93,0.86
Czech Republic,33468.73,0.88
Germany,47810.84,0.93
Djibouti,3342.90,0.47
Denmark,48674.84,0.93
Dominican Republic,14238.86,0.72
Algeria,14614.97,0.75
Ecuador,11446.37,0.74
Eritrea,0.00,0.42
Spain,34818.12,0.88
Estonia,28688.97,0.87
Ethiopia,1632.55,0.45
Finland,42066.57,0.90
Fiji,9027.54,0.74
France,40468.51,0.90
Gabon,17928.70,0.70
United Kingdom,41579.86,0.91
Georgia,9610.54,0.77
Ghana,4184.58,0.58
Guinea,1866.78,0.41
Equatorial Guinea,29361.07,0.59
Greece,26697.25,0.87
Guatemala,7765.76,0.64
Guyana,7533.07,0.64
Honduras,4590.82,0.63
Croatia,22492.07,0.83
Haiti,1758.33,0.49
Hungary,26147.54,0.84
Indonesia,11040.19,0.69
India,6127.30,0.62
Ireland,69394.42,0.92
Iraq,15897.24,0.65
Iceland,47055.16,0.92
Israel,35888.88,0.90
Italy,36629.70,0.89
Jamaica,8620.36,0.73
Jordan,9041.82,0.74
Japan,40607.06,0.90
Kazakhstan,25048.05,0.79
Kenya,3019.58,0.56
Cambodia,3504.42,0.56
Kuwait,72918.00,0.80
Lebanon,14218.83,0.76
Liberia,836.18,0.43
Libya,0.00,0.72
Sri Lanka,11922.64,0.77
Lesotho,2883.81,0.50
Lithuania,28709.76,0.85
Luxembourg,102517.10,0.90
Latvia,24543.21,0.83
Morocco,7770.25,0.65
Madagascar,1466.50,0.51
Mexico,16983.46,0.76
Mali,2043.72,0.44
Malta,35873.82,0.86
Myanmar,5384.87,0.56
Montenegro,16272.20,0.81
Mongolia,12152.17,0.74
Mozambique,1190.75,0.42
Mauritania,3835.23,0.51
Malawi,1159.32,0.48
Malaysia,26623.33,0.79
Namibia,10610.55,0.64
Niger,963.25,0.35
Nigeria,6038.46,0.53
Nicaragua,5282.70,0.65
Netherlands,49527.67,0.92
Norway,61722.24,0.95
Nepal,2464.39,0.56
New Zealand,37426.28,0.92
Oman,42742.54,0.80
Pakistan,5000.28,0.55
Panama,22015.33,0.79
Peru,12530.82,0.74
Philippines,7320.50,0.68
Papua New Guinea,4117.31,0.52
Poland,26594.76,0.86
Portugal,29532.38,0.84
Paraguay,9199.67,0.69
Qatar,127516.90,0.86
Romania,21566.07,0.80
Rwanda,1827.19,0.50
Saudi Arabia,54013.88,0.85
Sudan,4568.67,0.49
South Sudan,1925.45,0.42
Senegal,2442.64,0.49
Solomon Islands,2186.63,0.52
Sierra Leone,1401.33,0.42
El Salvador,8354.03,0.68
Suriname,15724.64,0.73
Slovenia,31468.36,0.89
Sweden,47891.28,0.91
Swaziland,8261.75,0.54
Chad,2180.46,0.40
Togo,1436.90,0.49
Thailand,16225.03,0.74
Tajikistan,2811.87,0.63
Turkmenistan,15964.79,0.69
Trinidad and Tobago,33312.64,0.78
Tunisia,11447.14,0.73
Turkey,24844.90,0.77
Uganda,1774.01,0.49
Ukraine,7949.15,0.74
Uruguay,21117.80,0.80
Uzbekistan,6069.98,0.70
Vanuatu,2988.85,0.60
South Africa,13164.48,0.67
Zambia,3862.48,0.58
Zimbabwe,2036.32,0.52
