Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.81396282,39.31334897,43.01578526,40.88879185,41.93479766,42.03244307,47.14632667,47.21851397,51.04611926,52.020808,53.54942798,55.19691252,55.24622766,55.65340878,55.40806519,
Albania,ALB,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,21.39979483,24.5996393,24.50011908,22.59985271,22.90005982,22.09986176,21.79988487,20.99982361,22.20014287,22.89973889,15.89841223,18.00779904,25.03757092,22.45731668,24.64833534,21.68991362,47.17654977,51.92218872,56.41493655,58.90752157,56.80416565,57.23206991,56.1679952,52.48400341,52.48589622,53.5491611,53.37242241,54.79084751,51.55778956,52.37462449,50.65126458,50.88837424,51.88672188,51.13516638,52.45384355,52.96218731,53.37198133,
Algeria,DZA,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,49.39500682,49.75716626,47.28344976,46.88286174,48.43836777,45.26380343,49.11557311,43.45119069,39.97068733,34.93574528,39.36865079,35.97288953,36.29896216,37.50703765,36.46265536,33.8390488,33.71104795,35.48723533,36.44423546,36.66666713,37.43934282,41.70633631,40.70163365,42.53987866,41.42710532,40.47243974,36.67449615,38.15721315,39.26454053,40.9788187,39.10160821,37.00283663,38.2105874,41.31969803,39.28535392,32.87353154,35.52385677,36.27068463,34.32477567,33.42921213,30.42970186,29.49614324,30.81675021,30.68851016,38.32901886,37.11734856,38.67381187,39.34810886,41.54269402,43.31642788,48.58654518,48.89793183,
Andorra,AND,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8028169,83.47409372,83.09501417,82.67279351,82.3367558,82.25133909,82.10086199,82.65536913,82.72283902,83.94921162,84.83422689,85.77808557,87.08946517,87.98175353,88.43273561,88.64027689,,
Angola,AGO,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,33.33333333,33.33333333,37.5,38.46153846,37.17472119,26.37858755,26.43097643,25.1524549,30.24024067,31.28530147,20.99237086,22.21235549,26.95981144,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,81.76558873,83.38069801,83.01156377,81.81335083,81.57375816,85.01973526,85.38410129,85.35349425,84.31124522,82.70519993,81.76332079,81.46102914,80.51165462,81.92445677,81.25945558,82.446432,83.43269474,83.78516609,83.39287758,83.86795993,83.5300058,83.48968979,82.62096042,82.84651488,83.63717247,83.21428287,82.99399268,83.00043345,81.31772137,76.77528217,77.13531878,75.89586861,75.9366083,79.32328173,80.88694639,81.2653292,79.81555192,80.03945555,79.50451831,77.93912349,
Argentina,ARG,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,38.68135829,40.11642461,42.63620116,43.24265853,43.42754698,48.0836525,43.17904646,43.43347582,44.69512299,46.17635963,43.27476829,40.954084,44.10665582,46.3979525,48.17559806,52.42683251,53.1862536,49.30099531,49.78536853,51.94583523,53.08953817,54.81916247,54.07696627,52.5355207,48.03609224,55.85444764,60.56119851,63.32521644,65.2788256,65.46161342,65.7713508,65.09690382,64.7980813,65.29565153,66.89075214,66.8839131,68.07190438,56.77762721,54.05543385,56.2679554,57.00817602,57.42760083,58.6758998,59.93706144,63.56256502,61.38700634,61.66370631,63.97854942,64.20629453,63.0765386,65.8912292,65.76205285,
Armenia,ARM,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.66781932,25.7829087,29.55663294,21.68503191,18.15060945,25.758027,30.58821051,34.8314939,35.24915916,38.33920501,35.46959049,35.26492901,35.06248836,34.33061257,34.21715261,33.80930488,34.89134868,35.8091315,38.05434764,45.28044972,43.81692196,43.34571698,48.75647093,49.21012619,51.12778406,51.96530279,54.80682222,
Aruba,ABW,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.79963403,82.83062645,83.05913739,80.81973737,80.52899867,82.60815699,82.407189,82.33839766,83.04497624,81.22711336,80.05985967,78.94923807,77.4529411,76.86059344,78.35057331,82.68167422,83.11694833,83.15581235,,,,,,
Australia,AUS,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.10370699,66.31327378,67.20253929,67.31077694,67.26201338,67.73512148,67.84102029,68.83112318,68.98229493,69.84911173,69.86625648,70.22322349,69.93040014,70.45767583,70.43527101,70.07661859,69.14599142,69.7094728,69.75183935,68.62409459,70.55293649,69.03898018,69.34005837,70.6212137,70.3208711,72.0447953,73.06658671,
Austria,AUT,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,55.91767751,57.06778246,56.90989327,58.14396506,58.06451679,58.84166328,60.14706767,60.87495444,61.67241031,61.91189402,62.17197116,62.78419979,63.11791317,63.45166609,63.20917282,63.59349587,64.56885539,65.68393003,65.39451932,65.51669641,65.62729809,65.6666912,66.01424901,66.07772112,66.45929247,66.56544714,67.5608154,67.56651112,67.64525668,68.13081184,68.00284562,67.53905863,68.31665503,69.76748481,69.9176421,69.87470514,69.67689765,69.94636833,70.22594091,70.69683472,71.02089818,
Azerbaijan,AZE,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.06499813,36.30232097,31.52842392,37.7272423,38.80318665,39.11307528,33.39301118,38.31998742,44.61420006,40.1334841,37.52332332,36.71879148,34.64988576,33.95448978,33.43820282,26.50915688,23.78591827,24.50336274,23.80676447,32.27025296,30.01126608,29.02535588,31.45574741,32.26539793,36.00360794,43.92035702,42.27721388,
