CountryName,IsoCode,2015,2016,2017
Afghanistan,AFG,8.600000381,8.600000381,8.5
Albania,ALB,17.10000038,15.19999981,15
Algeria,DZA,11.19999981,11.5,11.69999981
Angola,AGO,6.199999809,6.099999905,6.199999809
Antarctica,ATA,,,
Argentina,ARG,7.199999809,8.800000191,8.100000381
Armenia,ARM,18.29999924,17.60000038,17.39999962
Australia,AUS,6.099999905,5.699999809,5.699999809
Austria,AUT,5.699999809,6,5.699999809
Azerbaijan,AZE,5,5,5.099999905
"Bahamas, The",BHS,12,12.69999981,12.60000038
Bangladesh,BGD,4.199999809,4.099999905,4
Belarus,BLR,0.5,0.5,0.5
Belgium,BEL,8.5,7.800000191,7.400000095
Belize,BLZ,10,10.89999962,11.39999962
Benin,BEN,1,1.100000024,1
Bermuda,BMU,,,
Bhutan,BTN,2.400000095,2.400000095,2.400000095
Bolivia,BOL,3.099999905,3.299999952,3.5
Bosnia and Herzegovina,BIH,26.29999924,26,25.79999924
Botswana,BWA,16.79999924,17.70000076,18.10000038
Brazil,BRA,8.5,11.5,13.39999962
Brunei Darussalam,BRN,6.900000095,6.5,6.400000095
Bulgaria,BGR,9.100000381,7.599999905,6
Burkina Faso,BFA,3.299999952,3.099999905,3
Burundi,BDI,1.5,1.5,1.600000024
Cambodia,KHM,0.100000001,0.200000003,0.300000012
Cameroon,CMR,4.099999905,4.300000191,4.5
Canada,CAN,6.900000095,7,6.599999905
Central African Republic,CAF,6.199999809,6.400000095,6.400000095
Chad,TCD,5.699999809,5.699999809,5.800000191
Chile,CHL,6.199999809,6.699999809,6.900000095
China,CHN,4.5,4.599999905,4.599999905
Colombia,COL,9,8.600000381,9.100000381
"Congo, Dem. Rep.",COD,3.700000048,3.599999905,3.599999905
"Congo, Rep.",COG,10,10.69999981,11.39999962
Costa Rica,CRI,9.600000381,9,8.5
Cote d'Ivoire,CIV,9.399999619,9.300000191,9.199999809
Croatia,HRV,16.29999924,13.10000038,11.5
Cuba,CUB,2.400000095,2.5,2.599999905
Cyprus,CYP,14.89999962,13,11.89999962
Czech Republic,CZE,5,4,3.400000095
Denmark,DNK,6.199999809,6.199999809,6.300000191
Djibouti,DJI,6,6,6.099999905
Dominican Republic,DOM,14.5,14.10000038,13.80000019
Ecuador,ECU,4.800000191,4.699999809,5.199999809
"Egypt, Arab Rep.",EGY,12.80000019,12.10000038,11.60000038
El Salvador,SLV,7,6.900000095,6.900000095
Equatorial Guinea,GNQ,5.800000191,6.199999809,6.699999809
Eritrea,ERI,6.400000095,6.5,6.599999905
Estonia,EST,6.199999809,6.800000191,7.300000191
Ethiopia,ETH,5,5.199999809,5.400000095
Fiji,FJI,8.899999619,8.399999619,8.100000381
Falkland Islands (Malvinas),FLK,,,
Finland,FIN,9.399999619,8.800000191,8.600000381
France,FRA,10.39999962,10.10000038,9.899999619
French Guiana,GUF,,,
French Southern Territories,ATF,21.39999962,18.20000076,16.39999962
Gabon,GAB,20,19,18.5
"Gambia, The",GMB,29.70000076,29.70000076,29.79999924
Georgia,GEO,12,11.69999981,11.5
Germany,DEU,4.599999905,4.099999905,3.799999952
